cash_request_id_main,user_id,cohort,cash_request_amount,cash_request_status,cash_request_id,type,fee_status,fee_amount,charge_moment
1831,8741,202005,100,money_back,0,0,,,
1381,5496,202004,50,rejected,0,0,,,
924,2373,202003,100,rejected,0,0,,,
1975,3324,202005,100,rejected,0,0,,,
923,1286,202003,100,rejected,0,0,,,
927,297,202003,100,rejected,0,0,,,
1579,8472,202005,100,rejected,0,0,,,
1775,5807,202005,100,rejected,0,0,,,
2196,9532,202005,100,money_back,0,0,,,
1119,6198,202004,100,money_back,0,0,,,
1622,8934,202005,100,rejected,0,0,,,
931,682,202003,100,rejected,0,0,,,
930,3849,202003,10,rejected,0,0,,,
10719,22477,202008,100,rejected,0,0,,,
1807,8592,202005,100,rejected,0,0,,,
918,35,202003,100,rejected,0,0,,,
913,2908,202003,100,rejected,0,0,,,
904,3948,202003,100,rejected,0,0,,,
5818,16642,202006,90,rejected,0,0,,,
1925,9306,202005,100,rejected,0,0,,,
1542,5067,202005,100,money_back,0,0,,,
999,1630,202003,100,rejected,0,0,,,
1307,2739,202004,100,rejected,0,0,,,
1563,8040,202005,100,rejected,0,0,,,
2162,4706,202005,100,rejected,0,0,,,
1614,8541,202005,100,rejected,0,0,,,
1382,3024,202004,100,rejected,0,0,,,
2346,10173,202005,100,money_back,2346,postpone,cancelled,5,after
11832,18155,202008,100,rejected,0,0,,,
1961,1348,202005,100,money_back,0,0,,,
1808,2653,202005,100,rejected,0,0,,,
1016,4869,202004,100,rejected,0,0,,,
1151,4906,202004,100,rejected,0,0,,,
1685,9053,202005,100,rejected,0,0,,,
1597,6600,202005,100,money_back,0,0,,,
1921,6511,202005,100,rejected,0,0,,,
2471,9427,202006,100,rejected,0,0,,,
2006,5280,202005,100,money_back,0,0,,,
2029,8456,202005,20,money_back,0,0,,,
1812,9253,202005,100,money_back,1812,postpone,cancelled,5,after
2178,6345,202005,31,money_back,0,0,,,
1091,5871,202004,100,rejected,0,0,,,
2292,11185,202005,100,money_back,2292,postpone,accepted,5,before
2609,11027,202006,100,rejected,0,0,,,
1965,528,202005,100,money_back,0,0,,,
18972,1022,202010,50,rejected,0,0,,,
1185,2015,202004,100,rejected,0,0,,,
1538,8674,202005,40,money_back,0,0,,,
1407,70,202004,100,money_back,0,0,,,
1992,6286,202005,100,rejected,0,0,,,
1825,4934,202005,100,rejected,0,0,,,
1789,5496,202005,100,rejected,0,0,,,
1383,1715,202004,100,rejected,0,0,,,
19091,58270,202010,100,direct_debit_rejected,19091,postpone,accepted,5,before
19091,58270,202010,100,direct_debit_rejected,19091,instant_payment,accepted,5,after
1051,1412,202004,100,money_back,0,0,,,
1440,6363,202004,100,money_back,0,0,,,
3525,15653,202006,100,rejected,0,0,,,
1152,377,202004,100,rejected,0,0,,,
1627,1072,202005,100,rejected,0,0,,,
1331,5264,202004,100,money_back,0,0,,,
